Uniprot	Exp012_Bae_Liver_Control	Exp017_Yu_S16_SMase	Exp018_Yu_S16_SMase	Exp019_Yu_S16_SMase	Exp025_Man_RNK-16_Control	Exp026_Man_RNK-16_Control	Exp027_Man_RNK-16_Control	Exp035_Jia_Synaptosome_MbCD	Exp046_Welker_Liver_Control	Exp075_Chintagari_Pneumocyte_Control	Exp080_Ponce_Embryonic_cortical_neuron_Simvastatin	Exp081_Williamson_Embryonic_cortical_neuron_Control	Exp082_Williamson_Embryonic_cortical_neuron_Control	Exp087_Suzuki_Post_synaptic_membrane_Control	Exp100_Hur_Brain_Control	Exp101_Hur_Brain_Control
Q5EB81	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5FVI4	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
Q5FVI6	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	1
Q5HZA9	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5HZE0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5I0H4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5M7T4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5M7U6	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q5M9I5	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5PPL3	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5PPM8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5PPN7	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5RJR8	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5RJY4	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5SGE0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5U2X6	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5XI31	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0
Q5XI32	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0
Q5XI78	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
